City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,17.52,96,100,7.45,ZA,1712582398
1,bethel,41.3712,-73.414,11.34,51,0,0.45,US,1712582218
2,mejit,10.2753,170.8646,26.85,85,99,10.4,MH,1712582398
3,hithadhoo,-0.6,73.0833,29.87,66,91,1.45,MV,1712582399
4,invercargill,-46.4,168.35,13.34,78,63,1.79,NZ,1712582399
5,iqaluit,63.7506,-68.5145,-17.15,70,20,9.77,CA,1712582399
6,awjilah,29.1081,21.2869,26.58,25,0,7.11,LY,1712582400
7,albany,42.6001,-73.9662,8.77,65,58,0.45,US,1712582383
8,olonkinbyen,70.9221,-8.7187,-4.11,90,100,9.74,SJ,1712582400
9,dawson creek,55.7666,-120.2362,0.22,75,100,3.11,CA,1712582264
10,longyearbyen,78.2186,15.6401,-14.09,66,20,4.12,SJ,1712582273
11,kristiansund,63.1115,7.732,13.03,57,75,4.63,NO,1712582401
12,cozumel,20.5083,-86.9458,24.41,88,20,0.0,MX,1712582391
13,vadso,70.0744,29.7487,-2.51,86,75,6.69,NO,1712582402
14,tarinkot,32.6268,65.8733,24.84,17,100,2.43,AF,1712582403
15,langsa,4.4683,97.9683,27.51,76,91,0.67,ID,1712582403
16,pisco,-13.7,-76.2167,23.03,78,75,1.03,PE,1712582403
17,stanley,54.868,-1.6985,14.77,83,40,3.09,GB,1712582224
18,georgetown,5.4112,100.3354,26.96,83,20,2.57,MY,1712582394
19,yigo village,13.5361,144.8886,26.62,82,75,7.2,GU,1712582404
20,acarau,-2.8856,-40.12,27.93,78,58,1.26,BR,1712582405
21,ushuaia,-54.8,-68.3,0.81,86,75,6.17,AR,1712582271
22,waitangi,-43.9535,-176.5597,12.68,83,28,0.89,NZ,1712582406
23,new norfolk,-42.7826,147.0587,9.72,91,20,1.38,AU,1712582406
24,al bawiti,28.3492,28.8659,27.9,13,0,8.35,EG,1712582406
25,port-aux-francais,-49.35,70.2167,6.59,83,39,11.85,TF,1712582407
26,newman,37.3138,-121.0208,8.34,78,6,1.79,US,1712582407
27,mar del plata,-38.0023,-57.5575,19.18,95,100,4.92,AR,1712582161
28,saacow,1.6279,42.4407,33.82,49,100,1.46,SO,1712582408
29,lebu,-37.6167,-73.65,14.55,93,66,0.72,CL,1712582244
30,saint-pierre,-21.3393,55.4781,27.82,74,75,4.63,RE,1712582305
31,charlottetown,46.2352,-63.1267,5.87,74,100,1.79,CA,1712582140
32,barabinsk,55.3571,78.357,3.74,93,100,3.51,RU,1712582409
33,tazacorte,28.629,-17.9293,22.54,81,20,5.66,ES,1712582410
34,puerto armuelles,8.2833,-82.8667,27.83,71,100,1.34,PA,1712582148
35,zambezi,-13.5432,23.1047,27.0,64,78,1.52,ZM,1712582411
36,constantia,44.1833,28.65,21.38,65,0,3.71,RO,1712582314
37,thompson,55.7435,-97.8558,1.35,96,100,1.83,CA,1712582232
38,shache,38.4167,77.2406,19.57,19,0,3.49,CN,1712582412
39,nova vicosa,-17.8919,-39.3719,29.14,61,92,2.24,BR,1712582341
40,nyagan,62.1406,65.3936,-1.39,77,100,2.16,RU,1712582413
41,vilyuchinsk,52.9306,158.4028,3.47,94,92,0.55,RU,1712582413
42,puerto natales,-51.7236,-72.4875,0.25,93,75,2.57,CL,1712582218
43,grytviken,-54.2811,-36.5092,2.7,80,82,3.75,GS,1712582414
44,mogocha,53.7333,119.7667,-4.72,59,22,0.26,RU,1712582414
45,bilibino,68.0546,166.4372,-23.33,100,80,1.79,RU,1712582415
46,port lincoln,-34.7333,135.8667,15.11,54,89,6.95,AU,1712582415
47,kuanda,56.3161,116.0806,-4.52,86,100,1.06,RU,1712582415
48,port moresby,-9.4431,147.1797,26.09,85,100,1.3,PG,1712582199
49,sitka,57.0531,-135.33,3.94,81,100,4.63,US,1712582416
50,puerto ayora,-0.7393,-90.3518,25.31,98,16,2.48,EC,1712582417
51,edinburgh of the seven seas,-37.0676,-12.3116,18.43,92,100,9.03,SH,1712582417
52,margaret river,-33.95,115.0667,17.86,54,0,5.39,AU,1712582354
53,kruisfontein,-34.0033,24.7314,19.94,81,54,4.44,ZA,1712582328
54,chernyshevskiy,63.0128,112.4714,-12.98,92,16,2.6,RU,1712582418
55,adamstown,-25.066,-130.1015,23.72,87,29,4.86,PN,1712582419
56,college,64.8569,-147.8028,-2.82,83,75,0.0,US,1712582419
57,noyabrsk,63.1994,75.4507,-1.54,95,100,7.15,RU,1712582420
58,arica,-18.475,-70.3042,21.75,83,98,1.01,CL,1712582212
59,grand falls-windsor,48.9332,-55.6649,-0.28,74,96,3.13,CA,1712582419
60,codrington,-38.2667,141.9667,13.57,55,94,8.31,AU,1712582421
61,northam,51.0333,-4.2167,12.99,90,100,8.39,GB,1712582422
62,lyubinskiy,55.1542,72.6925,1.82,100,100,0.54,RU,1712582422
63,imbituba,-28.24,-48.6703,24.92,81,0,1.56,BR,1712582385
64,colonia,50.9333,6.95,24.21,61,0,1.54,DE,1712582364
65,parral,26.9333,-105.6667,8.81,17,100,1.7,MX,1712582397
66,lahij,13.1667,44.5833,32.13,32,45,5.93,YE,1712582423
67,trashigang,27.3331,91.5542,17.0,57,100,1.62,BT,1712582424
68,rancho palos verdes,33.7445,-118.387,11.26,91,0,1.79,US,1712582424
69,cockburn town,21.4612,-71.1419,24.49,66,7,6.65,TC,1712582425
70,kabalo,-6.05,26.9167,23.0,90,100,1.68,CD,1712582425
71,itaituba,-4.2761,-55.9836,29.09,79,75,2.57,BR,1712582425
72,creston,41.0586,-94.3614,9.28,93,100,3.6,US,1712582426
73,chonchi,-42.6128,-73.8092,9.56,89,88,1.67,CL,1712582251
74,tiksi,71.6872,128.8694,-10.04,80,100,10.07,RU,1712582427
75,whitehorse,60.7161,-135.0538,-0.57,74,100,6.17,CA,1712582428
76,kupino,54.3663,77.2981,9.57,73,100,3.75,RU,1712582428
77,lompoc,34.6391,-120.4579,8.66,74,0,5.66,US,1712582429
78,starodub,52.5844,32.7633,18.96,46,100,4.04,RU,1712582429
79,port mathurin,-19.6833,63.4167,27.19,80,11,4.61,MU,1712582430
80,avarua,-21.2078,-159.775,27.03,83,40,4.12,CK,1712582430
81,kolonia town,6.964,158.206,28.0,83,100,2.06,FM,1712582430
82,togur,58.3631,82.8265,2.3,65,100,4.47,RU,1712582431
83,portland,45.5234,-122.6762,7.64,92,51,1.34,US,1712582277
84,hasilpur,29.7122,72.5553,33.79,8,5,0.82,PK,1712582431
85,malpica,43.3228,-8.8105,13.09,47,72,7.93,ES,1712582432
86,udachny,66.4167,112.4,-12.53,81,16,3.64,RU,1712582432
87,suva,-18.1416,178.4415,26.71,94,75,2.57,FJ,1712582289
88,hasanpur,28.7167,78.2833,31.83,9,2,3.01,IN,1712582433
89,wailua homesteads,22.0669,-159.378,21.44,84,75,6.17,US,1712582433
90,slavyanka,42.8633,131.3847,3.56,32,0,8.42,RU,1712582434
91,isafjordur,66.0755,-23.124,0.02,69,100,8.23,IS,1712582409
92,kavaratti,10.5669,72.642,29.59,68,49,2.65,IN,1712582435
93,pittsburg,38.028,-121.8847,10.52,80,0,2.24,US,1712582142
94,kita,13.0349,-9.4895,41.82,8,11,2.37,ML,1712582435
